player,balls_faced,total_runs,fours,sixes,dismissals,pp_runs,death_runs,batting_avg,strike_rate,boundary_pct,balls_bowled,wickets,economy,bowl_avg,strike_rate_bowl,dot_pct,pp_wickets,death_wickets,stumpings,role,ewr_wpa_bat,rwpa_powerplay_bat,rwpa_middle_bat,rwpa_death_bat,ewr_wpa_bow,rwpa_powerplay_bow,rwpa_middle_bow,rwpa_death_bow,fran_runs,fran_balls_faced,fran_sr,fran_wickets,fran_balls_bowled,fran_economy,combined_ewr_wpa,recency_bonus,final_score,in_recent_squad
AC Blizzard,91.0,120.0,21.0,2.0,7.0,99.0,0.0,17.142857142857142,131.86813186813185,0.25274725274725274,0.0,0.0,99.0,0.0,0.0,0.0,0.0,0.0,0.0,Wicketkeeper,0.16233624625523344,0.21461397629126086,0.0012397137843791718,0.0,0.0,0.0,0.0,0.0,120.0,91.0,131.86813186813185,0.0,0.0,0.0,0.08116812312761672,0.0,0.08116812312761672,False
AM Nayar,588.0,672.0,55.0,20.0,39.0,65.0,310.0,17.23076923076923,114.28571428571428,0.12755102040816327,239.0,9.0,8.10878661087866,35.888888888888886,26.555555555555557,0.28870292887029286,0.0,1.0,0.0,All-rounder,0.00344469040078971,-0.1851481419995369,-0.2616221152416285,0.4503906971521995,0.15700986891961025,-0.03457438330866697,0.19237912346484895,0.018913480510659705,457.0,348.0,131.32183908045977,5.0,120.0,7.65,0.08022727966019998,0.0,0.08022727966019998,False
JP Behrendorff,9.0,6.0,0.0,0.0,0.0,0.0,6.0,6.0,66.66666666666666,0.0,379.0,22.0,8.91292875989446,25.59090909090909,17.227272727272727,0.36675461741424803,11.0,8.0,0.0,Bowler,0.003959903294974145,0.0,0.0,0.01715958094488796,0.06887374233080998,-0.02957423660118136,0.0019313036978297112,0.1019684226482099,6.0,9.0,66.66666666666666,22.0,379.0,8.91292875989446,0.06887374233080998,0.1,0.07576111656389098,True
SZ Mulani,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,100.0,0.0,33.0,0.0,10.363636363636363,999.0,999.0,0.21212121212121213,0.0,0.0,0.0,Bowler,0.002954645402050222,0.0,0.0,0.09159400746355689,0.06817141491623671,0.07834242159955922,0.0370353361348403,0.014767670742052381,1.0,1.0,100.0,0.0,33.0,10.363636363636363,0.06817141491623671,0.1,0.07498855640786038,True
BR Dunk,36.0,40.0,7.0,0.0,3.0,40.0,0.0,13.333333333333334,111.11111111111111,0.19444444444444445,0.0,0.0,99.0,0.0,0.0,0.0,0.0,0.0,0.0,Wicketkeeper,0.06766566618982814,0.12405372134801826,0.0,0.0,0.0,0.0,0.0,0.0,40.0,36.0,111.11111111111111,0.0,0.0,0.0,0.03383283309491407,0.0,0.03383283309491407,False
YV Takawale,183.0,192.0,26.0,3.0,8.0,121.0,29.0,24.0,104.91803278688525,0.15846994535519127,0.0,0.0,99.0,0.0,0.0,0.0,0.0,0.0,4.0,Wicketkeeper,0.06621169807175573,0.13612084195870458,0.06618797641092447,-0.12524274356479864,0.0,0.0,0.0,0.0,88.0,91.0,96.7032967032967,0.0,0.0,0.0,0.03310584903587786,0.0,0.03310584903587786,False
Arshad Khan,67.0,96.0,5.0,6.0,4.0,0.0,64.0,24.0,143.28358208955223,0.16417910447761194,153.0,6.0,11.058823529411764,47.0,25.5,0.2875816993464052,2.0,2.0,0.0,Bowler,-0.06753965897774715,0.0,-0.02797846108128584,-0.06980283624470632,0.02549879541590903,0.03512383418163843,-0.05005552986952395,0.04543025491083551,18.0,15.0,120.0,5.0,97.0,11.876288659793813,0.02549879541590903,0.1,0.028048674957499936,True
SD Chitnis,92.0,99.0,10.0,2.0,7.0,1.0,43.0,14.142857142857142,107.6086956521739,0.13043478260869565,38.0,2.0,9.789473684210527,31.0,19.0,0.23684210526315788,0.0,1.0,0.0,Bowler,0.14446439232437475,-0.05655496753899932,0.05462280269854796,0.1935045111836439,0.019822849126367056,-0.002552539236667671,0.04384780861959283,-0.005822802525215703,18.0,10.0,180.0,2.0,38.0,9.789473684210527,0.019822849126367056,0.0,0.019822849126367056,False
TG Southee,108.0,120.0,8.0,4.0,11.0,0.0,106.0,10.909090909090908,111.11111111111111,0.1111111111111111,1262.0,57.0,8.434231378763867,31.12280701754386,22.140350877192983,0.3541996830427892,21.0,25.0,0.0,Bowler,-0.9872019234638924,0.0,-0.3621855510992184,-0.8992391288824217,0.01660847845788264,-0.7426278784393323,0.7656152491569871,-0.005984078984228182,37.0,23.0,160.8695652173913,12.0,334.0,7.724550898203593,0.01660847845788264,0.0,0.01660847845788264,False
K Santokie,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,3.0,10.705882352941176,30.333333333333332,17.0,0.29411764705882354,1.0,1.0,0.0,Bowler,0.0,0.0,0.0,0.0,0.012236885197415155,0.0504155456645573,0.08076912175888545,-0.1117496144628422,0.0,0.0,0.0,3.0,51.0,10.705882352941176,0.012236885197415155,0.0,0.012236885197415155,False
R Sathish,236.0,270.0,22.0,6.0,16.0,0.0,164.0,16.875,114.40677966101696,0.11864406779661017,144.0,6.0,9.708333333333334,38.833333333333336,24.0,0.20833333333333334,0.0,1.0,0.0,Batsman,0.0073273785043962815,-0.03196242915509982,-0.06845051793710537,0.10867177201665182,-0.511610505051188,0.0,-0.0987781160366759,-0.5194179109001763,137.0,133.0,103.00751879699249,3.0,82.0,8.926829268292684,0.0073273785043962815,0.0,0.0073273785043962815,False
PR Shah,97.0,92.0,9.0,2.0,8.0,30.0,27.0,11.5,94.84536082474226,0.1134020618556701,0.0,0.0,99.0,0.0,0.0,0.0,0.0,0.0,3.0,Wicketkeeper,0.005140876309568234,0.2161123052680868,-0.1747194644363561,-0.034662002776935194,0.0,0.0,0.0,0.0,87.0,92.0,94.56521739130434,0.0,0.0,0.0,0.002570438154784117,0.0,0.002570438154784117,False
C Madan,21.0,15.0,3.0,0.0,1.0,15.0,0.0,15.0,71.42857142857143,0.14285714285714285,0.0,0.0,99.0,0.0,0.0,0.0,0.0,0.0,0.0,Wicketkeeper,0.003555865812083212,0.008635674115059229,0.0,0.0,0.0,0.0,0.0,0.0,15.0,21.0,71.42857142857143,0.0,0.0,0.0,0.001777932906041606,0.0,0.001777932906041606,False
Mohammad Ashraful,12.0,2.0,0.0,0.0,1.0,2.0,0.0,2.0,16.666666666666664,0.0,0.0,0.0,99.0,0.0,0.0,0.0,0.0,0.0,0.0,Wicketkeeper,0.00035386626310263846,0.0012385319208592345,0.0,0.0,0.0,0.0,0.0,0.0,2.0,12.0,16.666666666666664,0.0,0.0,0.0,0.00017693313155131923,0.0,0.00017693313155131923,False
RA Shaikh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,11.0,999.0,999.0,0.16666666666666666,0.0,0.0,0.0,Bowler,0.0,0.0,0.0,0.0,-0.005237673529280209,-0.031426041175681256,0.0,0.0,0.0,0.0,0.0,0.0,6.0,11.0,-0.005237673529280209,0.0,-0.005237673529280209,False
SD Lad,13.0,15.0,1.0,1.0,1.0,15.0,0.0,15.0,115.38461538461537,0.15384615384615385,0.0,0.0,99.0,0.0,0.0,0.0,0.0,0.0,0.0,Wicketkeeper,-0.01659289818657197,-0.054884201694045745,0.0,0.0,0.0,0.0,0.0,0.0,15.0,13.0,115.38461538461537,0.0,0.0,0.0,-0.008296449093285986,0.0,-0.008296449093285986,False
R Goyal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,8.5,999.0,999.0,0.25,0.0,0.0,0.0,Bowler,0.0,0.0,0.0,0.0,-0.008221226782351224,0.0,-0.018497760260290253,0.0,0.0,0.0,0.0,0.0,24.0,8.5,-0.008221226782351224,0.1,-0.009043349460586346,True
P Suyal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107.0,2.0,8.63551401869159,77.0,53.5,0.3364485981308411,1.0,0.0,0.0,Bowler,0.0,0.0,0.0,0.0,-0.015958516227332336,-0.21761037445359138,0.19854133084144082,-0.0013638229592936252,0.0,0.0,0.0,2.0,107.0,8.63551401869159,-0.015958516227332336,0.0,-0.015958516227332336,False
GR Napier,16.0,15.0,1.0,0.0,1.0,0.0,5.0,15.0,93.75,0.0625,24.0,1.0,7.0,28.0,24.0,0.3333333333333333,0.0,0.0,0.0,Bowler,-0.05562105983532203,0.0,-0.1731463100729153,0.01323576304636448,-0.016492280435566997,0.022452840034904893,-0.05956047101493064,0.0,15.0,16.0,93.75,1.0,24.0,7.0,-0.016492280435566997,0.0,-0.016492280435566997,False
K Kartikeya,13.0,9.0,1.0,0.0,2.0,0.0,9.0,4.5,69.23076923076923,0.07692307692307693,241.0,10.0,8.315352697095436,33.4,24.1,0.2863070539419087,1.0,0.0,0.0,Bowler,0.0020230630847915382,0.0,0.0,0.006691670203541241,-0.02602068279752386,-0.02763955246625391,-0.15708300904951644,0.15546278957332652,9.0,13.0,69.23076923076923,10.0,241.0,8.315352697095436,-0.02602068279752386,0.1,-0.028622751077276246,True
